epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.155,2.22815,3.35301,1.65212,0.38296,0.34094,0.27367,0.1042,2.29213,2.81132,1.70925,0.000662577,0.000662577,0.000662577
2,269.774,2.2254,2.51969,1.65234,0.29103,0.32287,0.2005,0.0752,2.27047,2.92551,1.66667,0.00126345,0.00126345,0.00126345
3,402.609,2.21546,2.224,1.6446,0.32673,0.37668,0.24274,0.08936,2.29238,2.34456,1.75478,0.00179831,0.00179831,0.00179831
4,534.715,2.18883,2.17583,1.64368,0.35668,0.31614,0.25178,0.08507,2.28414,2.36456,1.66573,0.001703,0.001703,0.001703
5,667.026,2.15272,2.06761,1.65212,0.2654,0.31614,0.16925,0.05618,2.44337,2.6105,1.7118,0.001604,0.001604,0.001604
6,799.731,2.07631,1.97546,1.58248,0.42543,0.40135,0.34773,0.13748,2.17095,1.91618,1.66765,0.001505,0.001505,0.001505
7,932.509,2.06326,1.88897,1.57989,0.45974,0.44075,0.40728,0.16161,2.0963,1.79103,1.56318,0.001406,0.001406,0.001406
8,2187.3,2.01187,1.79754,1.53067,0.528,0.43274,0.40019,0.17037,2.0894,1.8164,1.55571,0.001307,0.001307,0.001307
9,2526.74,1.9907,1.74247,1.5211,0.48736,0.45516,0.40845,0.16602,2.08638,1.74004,1.55606,0.001208,0.001208,0.001208
10,2658.83,1.96983,1.68389,1.49931,0.46698,0.4148,0.38859,0.15901,2.09352,1.79871,1.55454,0.001109,0.001109,0.001109
11,2808.96,1.91964,1.66871,1.54229,0.5234,0.44395,0.43362,0.2015,2.04798,1.61787,1.48849,0.00101,0.00101,0.00101
12,2940.74,1.88465,1.55447,1.49966,0.51961,0.43274,0.44127,0.19778,2.01282,1.64299,1.50202,0.000911,0.000911,0.000911
13,3073.07,1.87588,1.50834,1.48473,0.48311,0.45291,0.41641,0.18482,2.05841,1.67632,1.52811,0.000812,0.000812,0.000812
14,3205.41,1.81896,1.43169,1.45239,0.51094,0.51345,0.50106,0.21168,2.00833,1.53865,1.50723,0.000713,0.000713,0.000713
15,3337.09,1.78663,1.37892,1.43368,0.55681,0.49327,0.51588,0.22756,2.02982,1.52981,1.49733,0.000614,0.000614,0.000614
16,3583.31,1.75986,1.33248,1.42015,0.673,0.52606,0.57542,0.24547,1.98035,1.44633,1.48185,0.000515,0.000515,0.000515
17,3715.16,1.71765,1.26171,1.37712,0.63999,0.48655,0.54021,0.23504,2.02152,1.47893,1.49356,0.000416,0.000416,0.000416
18,3847.44,1.67682,1.20299,1.36447,0.63864,0.53496,0.54379,0.24296,2.01782,1.42356,1.49869,0.000317,0.000317,0.000317
19,3979.38,1.64197,1.13567,1.33921,0.66289,0.54709,0.57261,0.24522,2.05539,1.43668,1.52106,0.000218,0.000218,0.000218
20,4111.31,1.61055,1.09576,1.31871,0.63498,0.54484,0.56376,0.25382,2.02788,1.40289,1.50858,0.000119,0.000119,0.000119
